k,t,Qnum,Qlevel,Qlength,approach,time,size
140,2,0,0,4,casa,375.8,40.8
200,2,0,0,4,casa,627.8,43.8
20,3,0,0,4,casa,303.6,119
80,3,0,0,4,casa,*,*
140,3,0,0,4,casa,*,*
200,3,0,0,4,casa,*,*
20,2,0,0,5,casa,1.4,24.2
80,2,0,0,5,casa,58.6,35.8
140,2,0,0,5,casa,34.2,41
200,2,0,0,5,casa,494.9,44
20,3,0,0,5,casa,208.1,119.3
80,3,0,0,5,casa,*,*
140,3,0,0,5,casa,*,*
200,3,0,0,5,casa,*,*
20,2,26,3,2,casa,0.2,24.4
80,2,53,3,2,casa,26.7,36.4
140,2,70,3,2,casa,127.9,41.6
200,2,84,3,2,casa,334.3,44.2
20,3,26,3,2,casa,160,129.8
80,3,53,3,2,casa,*,*
140,3,70,3,2,casa,*,*
200,3,84,3,2,casa,*,*
20,2,26,3,3,casa,3.3,24.2
80,2,53,3,3,casa,54.4,35.6
140,2,70,3,3,casa,79.8,41.2
200,2,84,3,3,casa,318.4,44
20,3,26,3,3,casa,201.1,125.4
80,3,53,3,3,casa,*,*
140,3,70,3,3,casa,*,*
200,3,84,3,3,casa,*,*
20,2,26,3,4,casa,1.6,24.2
80,2,53,3,4,casa,45.2,35.6
140,2,70,3,4,casa,262.9,41.2
200,2,84,3,4,casa,374.6,43.8
20,3,26,3,4,casa,181,126
80,3,53,3,4,casa,*,*
140,3,70,3,4,casa,*,*
200,3,84,3,4,casa,*,*
20,2,26,3,5,casa,4.1,24
80,2,53,3,5,casa,26.4,35.2
140,2,70,3,5,casa,73,41.2
200,2,84,3,5,casa,416.1,44
20,3,26,3,5,casa,554.8,124.8
80,3,53,3,5,casa,*,*
140,3,70,3,5,casa,*,*
200,3,84,3,5,casa,*,*
20,2,53,6,2,casa,1,27.6
80,2,107,6,2,casa,21.6,42.2
140,2,141,6,2,casa,362.6,43.6
200,2,169,6,2,casa,202.5,47.8
20,3,53,6,2,casa,175.8,135.4
80,3,107,6,2,casa,*,*
140,3,141,6,2,casa,*,*
200,3,169,6,2,casa,*,*
20,2,53,6,3,casa,2.2,24.6
80,2,107,6,3,casa,199.3,36.2
140,2,141,6,3,casa,132.5,41.2
200,2,169,6,3,casa,403.9,44.2
20,3,53,6,3,casa,131.1,127.4
80,3,107,6,3,casa,*,*
140,3,141,6,3,casa,*,*
200,3,169,6,3,casa,*,*
20,2,53,6,4,casa,1.8,24
80,2,107,6,4,casa,49.6,36.2
140,2,141,6,4,casa,87.7,41.2
200,2,169,6,4,casa,516.2,44
20,3,53,6,4,casa,132,126.6
80,3,107,6,4,casa,*,*
140,3,141,6,4,casa,*,*
200,3,169,6,4,casa,*,*
20,2,53,6,5,casa,3.9,23.6
80,2,107,6,5,casa,18.9,36.2
140,2,141,6,5,casa,143.4,41
200,2,169,6,5,casa,565.5,44
20,3,53,6,5,casa,484.9,126.2
80,3,107,6,5,casa,*,*
140,3,141,6,5,casa,*,*
200,3,169,6,5,casa,*,*
20,2,80,9,2,casa,2.8,28.6
80,2,160,9,2,casa,68.2,49.8
140,2,212,9,2,casa,205.3,55.8
200,2,254,9,2,casa,543.5,60
20,3,80,9,2,casa,142.5,150.2
80,3,160,9,2,casa,*,*
140,3,212,9,2,casa,*,*
200,3,254,9,2,casa,*,*
20,2,80,9,3,casa,1.2,25
80,2,160,9,3,casa,24.1,36.2
140,2,212,9,3,casa,203.1,41.2
200,2,254,9,3,casa,605.3,44.4
20,3,80,9,3,casa,1439.9,130.4
80,3,160,9,3,casa,*,*
140,3,212,9,3,casa,*,*
200,3,254,9,3,casa,*,*
20,2,80,9,4,casa,0.3,24.2
80,2,160,9,4,casa,29.3,36
140,2,212,9,4,casa,150.7,41.2
200,2,254,9,4,casa,463.8,44
20,3,80,9,4,casa,*,*
80,3,160,9,4,casa,*,*
140,3,212,9,4,casa,*,*
200,3,254,9,4,casa,*,*
20,2,80,9,5,casa,2.8,24.2
80,2,160,9,5,casa,50.2,35.8
140,2,212,9,5,casa,243.3,41
200,2,254,9,5,casa,372,44
20,3,80,9,5,casa,225.9,126
80,3,160,9,5,casa,*,*
140,3,212,9,5,casa,*,*
200,3,254,9,5,casa,*,*
20,2,0,0,2,f-chip,3.421706,25.2
20,2,0,0,3,f-chip,2.836022,25.6
20,2,0,0,4,f-chip,2.994114,25.2
20,2,0,0,5,f-chip,2.96141,25.8
20,3,0,0,2,f-chip,56.66968,127.6
20,3,0,0,3,f-chip,66.29728,128.6
20,3,0,0,4,f-chip,63.23288,127.8
20,3,0,0,5,f-chip,72.49028,128.6
80,2,0,0,2,f-chip,9.004108,38.4
80,2,0,0,3,f-chip,8.93763,38.4
80,2,0,0,4,f-chip,8.530492,38
80,2,0,0,5,f-chip,8.755882,38.2
80,3,0,0,2,f-chip,538.306,245.6
80,3,0,0,3,f-chip,573.9322,246
80,3,0,0,4,f-chip,556.0234,245.6
80,3,0,0,5,f-chip,527.2814,244.4
140,2,0,0,2,f-chip,16.10064,43.4
140,2,0,0,3,f-chip,17.02066,43.6
140,2,0,0,4,f-chip,15.6758,43.4
140,2,0,0,5,f-chip,17.08038,43.6
140,3,0,0,2,f-chip,1564.196,298
140,3,0,0,3,f-chip,1660.074,298.8
