k,t,Qnum,Qlevel,time,size,approach,setup
200,2,84,3,11.90376,46.4,nonhybrid,8x4
200,2,169,6,21.577852,45.8,nonhybrid,8x4
200,2,254,9,12.780532,46.8,nonhybrid,8x4
20,3,0,0,19.93992,124.2,nonhybrid,8x4
20,3,26,3,38.1655,124,nonhybrid,8x4
20,3,53,6,42.90854,130.4,nonhybrid,8x4
20,3,80,9,50.98452,141.2,nonhybrid,8x4
80,3,0,0,521.1124,243.2,nonhybrid,8x4
80,3,53,3,654.2094,244.8,nonhybrid,8x4
80,3,107,6,937.6938,247,nonhybrid,8x4
80,3,160,9,958.002,251,nonhybrid,8x4
140,3,0,0,2592.074,297.4,nonhybrid,8x4
140,3,70,3,2877.426,298.2,nonhybrid,8x4
140,3,141,6,2954.664,298,nonhybrid,8x4
140,3,212,9,3846.578,301,nonhybrid,8x4
200,3,0,0,*,*,nonhybrid,8x4
200,3,84,3,*,*,nonhybrid,8x4
200,3,169,6,*,*,nonhybrid,8x4
200,3,254,9,*,*,nonhybrid,8x4
20,2,0,0,1.040772,24.8,nonhybrid,16x2
20,2,26,3,1.2567424,24.4,nonhybrid,16x2
20,2,53,6,1.402544,25.4,nonhybrid,16x2
20,2,80,9,2.362022,28,nonhybrid,16x2
80,2,0,0,4.195726,37,nonhybrid,16x2
80,2,53,3,5.814862,37,nonhybrid,16x2
80,2,107,6,8.550334,37.2,nonhybrid,16x2
80,2,160,9,13.60322,37.2,nonhybrid,16x2
140,2,0,0,8.256424,42,nonhybrid,16x2
140,2,70,3,12.513438,42,nonhybrid,16x2
140,2,141,6,18.67158,42.2,nonhybrid,16x2
140,2,212,9,31.5457,42.2,nonhybrid,16x2
200,2,0,0,19.530048,45.2,nonhybrid,16x2
200,2,84,3,4.60752,47,nonhybrid,16x2
200,2,169,6,10.331064,47.4,nonhybrid,16x2
200,2,254,9,13.4153,47.6,nonhybrid,16x2
20,3,0,0,22.30652,123.6,nonhybrid,16x2
20,3,26,3,34.69604,124.2,nonhybrid,16x2
20,3,53,6,40.50086,128.2,nonhybrid,16x2
20,3,80,9,75.28964,141.2,nonhybrid,16x2
80,3,0,0,806.7116,242.4,nonhybrid,16x2
80,3,53,3,944.3084,243.4,nonhybrid,16x2
80,3,107,6,977.7126,244.4,nonhybrid,16x2
80,3,160,9,1225.486,248.6,nonhybrid,16x2
140,3,0,0,4780.488,297.2,nonhybrid,16x2
140,3,70,3,5004.214,296.8,nonhybrid,16x2
140,3,141,6,4974.102,297,nonhybrid,16x2
140,3,212,9,5515.464,299.2,nonhybrid,16x2
200,3,0,0,*,*,nonhybrid,16x2
200,3,84,3,*,*,nonhybrid,16x2
200,3,169,6,*,*,nonhybrid,16x2
200,3,254,9,*,*,nonhybrid,16x2
20,2,0,0,1.1992542,24.2,nonhybrid,32x1
20,2,26,3,1.6718866,24.6,nonhybrid,32x1
20,2,53,6,2.533912,25.2,nonhybrid,32x1
20,2,80,9,3.73476,27.2,nonhybrid,32x1
80,2,0,0,4.169568,36.6,nonhybrid,32x1
80,2,53,3,8.317264,37,nonhybrid,32x1
80,2,107,6,15.32092,37.2,nonhybrid,32x1
80,2,160,9,30.1957,37.4,nonhybrid,32x1
140,2,0,0,8.955672,41.8,nonhybrid,32x1
140,2,70,3,16.19552,41.8,nonhybrid,32x1
140,2,141,6,35.7573,42,nonhybrid,32x1
140,2,212,9,66.26172,42.8,nonhybrid,32x1
200,2,0,0,15.93308,44.4,nonhybrid,32x1
200,2,84,3,26.155456,45.2,nonhybrid,32x1
200,2,169,6,61.65948,45.2,nonhybrid,32x1
200,2,254,9,127.62388,45.8,nonhybrid,32x1
20,3,0,0,33.33456,124,nonhybrid,32x1
20,3,26,3,51.1333,123,nonhybrid,32x1
20,3,53,6,71.40668,128.8,nonhybrid,32x1
20,3,80,9,109.56118,140.6,nonhybrid,32x1
80,3,0,0,1697.638,243.2,nonhybrid,32x1
80,3,53,3,1597.132,243.2,nonhybrid,32x1
80,3,107,6,2102.776,244.8,nonhybrid,32x1
80,3,160,9,2149.958,247.6,nonhybrid,32x1
140,3,0,0,9467.52,297.2,nonhybrid,32x1
140,3,70,3,8750.2,296.4,nonhybrid,32x1
140,3,141,6,9878.54,297,nonhybrid,32x1
140,3,212,9,12644.47,299.2,nonhybrid,32x1
200,3,0,0,*,*,nonhybrid,32x1
200,3,84,3,*,*,nonhybrid,32x1
200,3,169,6,*,*,nonhybrid,32x1
200,3,254,9,*,*,nonhybrid,32x1
